value
3890
3247
4088
3302
3643
3347
3767
3660
3084
3146
3219
3348
3246
3123
2996
3985
3744
4249
3564
3132
3138
3674
3739
3010
3124
3167
4253
3286
2806
3321
3295
3106
3758
3518
3179
3712
3379
3209
3931
3255
3002
3098
3826
3493
4820
4143
4153
3085
3700
3020
3086
3771
4125
3577
3187
3264
4066
3489
3508
3322
4095
4108
3749
4414
4249
4054
4037
3364
3678
4650
3179
2809
3328
3563
3497
3144
3609
3489
3028
4091
4376
4031
3948
3948
3166
3120
3810
4687
3346
4864
4421
3232
3135
3577
3930
3108
2986
3395
2833
2972
3343
2921
3757
2966
2877
3665
3043
3184
2989
2972
2006
2603
2567
2511
3406
3437
3730
4127
2510
3135
7126
3261
4338
4632
2527
3290
2550
3088
3148
3438
2839
2659
2986
2859
2714
4424
2675
3050
2751
3735
3717
2381
3394
3277
3414
3069
